Load earlier flights,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N712EVDelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  08:32 IRO8552 Flint(FNT) C208CSA Air -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N625CADelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N712EVDelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  08:32 IRO8552 Flint(FNT) C208CSA Air -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N625CADelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N712EVDelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  08:32 IRO8552 Flint(FNT) C208CSA Air -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N625CADelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N712EVDelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  08:32 IRO8552 Flint(FNT) C208CSA Air -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N625CADelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N712EVDelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  08:32 IRO8552 Flint(FNT) C208CSA Air -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N625CADelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N712EVDelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  08:32 IRO8552 Flint(FNT) C208CSA Air -,,,,,,,Alpena County Regional Airport(APN/KAPN),
Scheduled  16:54 DL4274 Detroit(DTW) CRJ7N625CADelta Connection -,,,,,,,Alpena County Regional Airport(APN/KAPN),
"Monday, Mar 11",,,,,,,Alpena County Regional Airport(APN/KAPN),"Monday, Mar 11 2024"
08:28,MRA603,Saginaw (MBS)-,Martinaire -,C208 (N1120W),,Unknown,Alpena County Regional Airport(APN/KAPN),
09:36,,Saginaw (MBS)-,-,C25A (N18TF),,Landed 09:45,Alpena County Regional Airport(APN/KAPN),
09:38,DL4252,Detroit (DTW)-,Delta Connection -,CRJ7 (N712EV),,Landed 09:25,Alpena County Regional Airport(APN/KAPN),
16:54,DL4274,Detroit (DTW)-,American Eagle -,CRJ7 (N703SK),,Landed 16:40,Alpena County Regional Airport(APN/KAPN),
"Tuesday, Mar 12",,,,,,,Alpena County Regional Airport(APN/KAPN),"Tuesday, Mar 12 2024"
08:28,MRA603,Saginaw (MBS)-,Martinaire -,C208 (N1120W),,Landed 08:15,Alpena County Regional Airport(APN/KAPN),
08:32,IRO8552,Flint (FNT)-,FedEx Feeder -,C208 (N906FE),,Landed 09:04,Alpena County Regional Airport(APN/KAPN),
09:00,IRO8587,Flint (FNT)-,FedEx Feeder -,C208 (N871FE),,Landed 08:59,Alpena County Regional Airport(APN/KAPN),
09:23,,Saginaw (MBS)-,-,C25A (N18TF),,Landed 09:16,Alpena County Regional Airport(APN/KAPN),
"Monday, Mar 11",,,,,,,Alpena County Regional Airport(APN/KAPN),"Monday, Mar 11 2024"
08:28,MRA603,Saginaw (MBS)-,Martinaire -,C208 (N1120W),,Unknown,Alpena County Regional Airport(APN/KAPN),
09:36,,Saginaw (MBS)-,-,C25A (N18TF),,Landed 09:45,Alpena County Regional Airport(APN/KAPN),
09:38,DL4252,Detroit (DTW)-,Delta Connection -,CRJ7 (N712EV),,Landed 09:25,Alpena County Regional Airport(APN/KAPN),
16:54,DL4274,Detroit (DTW)-,American Eagle -,CRJ7 (N703SK),,Landed 16:40,Alpena County Regional Airport(APN/KAPN),
"Tuesday, Mar 12",,,,,,,Alpena County Regional Airport(APN/KAPN),"Tuesday, Mar 12 2024"
08:28,MRA603,Saginaw (MBS)-,Martinaire -,C208 (N1120W),,Landed 08:15,Alpena County Regional Airport(APN/KAPN),
08:32,IRO8552,Flint (FNT)-,FedEx Feeder -,C208 (N906FE),,Landed 09:04,Alpena County Regional Airport(APN/KAPN),
09:00,IRO8587,Flint (FNT)-,FedEx Feeder -,C208 (N871FE),,Landed 08:59,Alpena County Regional Airport(APN/KAPN),
09:23,,Saginaw (MBS)-,-,C25A (N18TF),,Landed 09:16,Alpena County Regional Airport(APN/KAPN),
"Monday, Mar 11",,,,,,,Alpena County Regional Airport(APN/KAPN),"Monday, Mar 11 2024"
08:28,MRA603,Saginaw (MBS)-,Martinaire -,C208 (N1120W),,Unknown,Alpena County Regional Airport(APN/KAPN),
09:36,,Saginaw (MBS)-,-,C25A (N18TF),,Landed 09:45,Alpena County Regional Airport(APN/KAPN),
09:38,DL4252,Detroit (DTW)-,Delta Connection -,CRJ7 (N712EV),,Landed 09:25,Alpena County Regional Airport(APN/KAPN),
16:54,DL4274,Detroit (DTW)-,American Eagle -,CRJ7 (N703SK),,Landed 16:40,Alpena County Regional Airport(APN/KAPN),
"Tuesday, Mar 12",,,,,,,Alpena County Regional Airport(APN/KAPN),"Tuesday, Mar 12 2024"
08:28,MRA603,Saginaw (MBS)-,Martinaire -,C208 (N1120W),,Landed 08:15,Alpena County Regional Airport(APN/KAPN),
08:32,IRO8552,Flint (FNT)-,FedEx Feeder -,C208 (N906FE),,Landed 09:04,Alpena County Regional Airport(APN/KAPN),
09:00,IRO8587,Flint (FNT)-,FedEx Feeder -,C208 (N871FE),,Landed 08:59,Alpena County Regional Airport(APN/KAPN),
09:23,,Saginaw (MBS)-,-,C25A (N18TF),,Landed 09:16,Alpena County Regional Airport(APN/KAPN),
"Monday, Mar 11",,,,,,,Alpena County Regional Airport(APN/KAPN),"Monday, Mar 11 2024"
08:28,MRA603,Saginaw (MBS)-,Martinaire -,C208 (N1120W),,Unknown,Alpena County Regional Airport(APN/KAPN),
09:36,,Saginaw (MBS)-,-,C25A (N18TF),,Landed 09:45,Alpena County Regional Airport(APN/KAPN),
09:38,DL4252,Detroit (DTW)-,Delta Connection -,CRJ7 (N712EV),,Landed 09:25,Alpena County Regional Airport(APN/KAPN),
16:54,DL4274,Detroit (DTW)-,American Eagle -,CRJ7 (N703SK),,Landed 16:40,Alpena County Regional Airport(APN/KAPN),
"Tuesday, Mar 12",,,,,,,Alpena County Regional Airport(APN/KAPN),"Tuesday, Mar 12 2024"
08:28,MRA603,Saginaw (MBS)-,Martinaire -,C208 (N1120W),,Landed 08:15,Alpena County Regional Airport(APN/KAPN),
08:32,IRO8552,Flint (FNT)-,FedEx Feeder -,C208 (N906FE),,Landed 09:04,Alpena County Regional Airport(APN/KAPN),
09:00,IRO8587,Flint (FNT)-,FedEx Feeder -,C208 (N871FE),,Landed 08:59,Alpena County Regional Airport(APN/KAPN),
09:23,,Saginaw (MBS)-,-,C25A (N18TF),,Landed 09:16,Alpena County Regional Airport(APN/KAPN),
