Load earlier flights,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Loading...,,,,,,,Arlington Municipal Airport(QQW/KAWO)
"Sorry, we don't have any information about flights for this airport",,,,,,,Arlington Municipal Airport(QQW/KAWO)
Canceled  16:36 A81972 Seattle(BFI) BE99Ameriflight -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Landed 17:45 17:14  Aurora(QSA) P28AN610SH -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Landed 09:07 08:16 CBC871 Coeur d'Alene(COE) C25AN871CBCB SkyShare -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  MVW  10:44  Everett(PAE) C172N369DA -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  13:24  Renton(RNT) C172N635NDUND Aerospace -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  13:44  Renton(RNT) C172N13312 -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Canceled  16:37 A81972 Seattle(BFI) BE99Ameriflight -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  19:07  Renton(RNT) C172N91FF -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Canceled  16:36 A81972 Seattle(BFI) BE99Ameriflight -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Landed 17:45 17:14  Aurora(QSA) P28AN610SH -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Landed 09:07 08:16 CBC871 Coeur d'Alene(COE) C25AN871CBCB SkyShare -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  MVW  10:44  Everett(PAE) C172N369DA -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  13:24  Renton(RNT) C172N635NDUND Aerospace -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  13:44  Renton(RNT) C172N13312 -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Canceled  16:37 A81972 Seattle(BFI) BE99Ameriflight -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  19:07  Renton(RNT) C172N91FF -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Canceled  16:36 A81972 Seattle(BFI) BE99Ameriflight -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Landed 17:45 17:14  Aurora(QSA) P28AN610SH -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Landed 09:07 08:16 CBC871 Coeur d'Alene(COE) C25AN871CBCB SkyShare -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  MVW  10:44  Everett(PAE) C172N369DA -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  13:24  Renton(RNT) C172N635NDUND Aerospace -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  13:44  Renton(RNT) C172N13312 -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Canceled  16:37 A81972 Seattle(BFI) BE99Ameriflight -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  19:07  Renton(RNT) C172N91FF -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Canceled  16:36 A81972 Seattle(BFI) BE99Ameriflight -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Landed 17:45 17:14  Aurora(QSA) P28AN610SH -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Landed 09:07 08:16 CBC871 Coeur d'Alene(COE) C25AN871CBCB SkyShare -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  MVW  10:44  Everett(PAE) C172N369DA -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  13:24  Renton(RNT) C172N635NDUND Aerospace -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  13:44  Renton(RNT) C172N13312 -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Canceled  16:37 A81972 Seattle(BFI) BE99Ameriflight -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  19:07  Renton(RNT) C172N91FF -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Canceled  16:36 A81972 Seattle(BFI) BE99Ameriflight -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Landed 17:45 17:14  Aurora(QSA) P28AN610SH -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Landed 09:07 08:16 CBC871 Coeur d'Alene(COE) C25AN871CBCB SkyShare -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  MVW  10:44  Everett(PAE) C172N369DA -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  13:24  Renton(RNT) C172N635NDUND Aerospace -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  13:44  Renton(RNT) C172N13312 -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Canceled  16:37 A81972 Seattle(BFI) BE99Ameriflight -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
Diverted to  RNT  19:07  Renton(RNT) C172N91FF -,,,,,,,Arlington Municipal Airport(QQW/KAWO)
"Tuesday, Mar 12",,,,,,,Arlington Municipal Airport(QQW/KAWO)
13:44,,Renton (RNT)-,-,C172 (N13312),,Diverted to  RNT,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
16:37,A81972,Seattle (BFI)-,Ameriflight -,BE99 (),,Canceled,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
19:07,,Renton (RNT)-,-,C172 (N91FF),,Diverted to  RNT,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
"Tuesday, Mar 12",,,,,,,Arlington Municipal Airport(QQW/KAWO)
16:36,A81972,Seattle (BFI)-,Ameriflight -,BE99 (),,Canceled,Arlington Municipal Airport(QQW/KAWO),"Tuesday, Mar 12 2024"
17:14,,Aurora (QSA)-,-,P28A (N610SH),,Landed 17:45,Arlington Municipal Airport(QQW/KAWO),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Arlington Municipal Airport(QQW/KAWO)
08:16,CBC871,Coeur d'Alene (COE)-,CB SkyShare -,C25A (N871CB),,Landed 09:07,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
10:44,,Everett (PAE)-,-,C172 (N369DA),,Diverted to  MVW,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
13:24,,Renton (RNT)-,UND Aerospace -,C172 (N635ND),,Diverted to  RNT,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
13:44,,Renton (RNT)-,-,C172 (N13312),,Diverted to  RNT,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
16:37,A81972,Seattle (BFI)-,Ameriflight -,BE99 (),,Canceled,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
19:07,,Renton (RNT)-,-,C172 (N91FF),,Diverted to  RNT,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Arlington Municipal Airport(QQW/KAWO),"Wednesday, Mar 13 2024"
